"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 16:04:57 UTC 2024","Sat Mar 09 16:04:59 UTC 2024","2033","tests","test_shopping_cart","TestShoppingCart","","","Checking the start button in an empty shopping cart",""
"passed","Sat Mar 09 16:03:47 UTC 2024","Sat Mar 09 16:03:54 UTC 2024","6612","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"passed","Sat Mar 09 16:04:00 UTC 2024","Sat Mar 09 16:04:02 UTC 2024","2125","tests","test_catalog","TestCatalogPrice","","","Show items in the list view",""
"passed","Sat Mar 09 16:04:09 UTC 2024","Sat Mar 09 16:04:53 UTC 2024","44351","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"passed","Sat Mar 09 16:05:28 UTC 2024","Sat Mar 09 16:05:30 UTC 2024","2343","tests","test_shopping_cart","TestShoppingCart","","","Transfer total price from cart to payment",""
"passed","Sat Mar 09 16:03:56 UTC 2024","Sat Mar 09 16:04:07 UTC 2024","10900","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"passed","Sat Mar 09 16:05:08 UTC 2024","Sat Mar 09 16:05:08 UTC 2024","230","tests","test_shopping_cart","TestShoppingCart","","","Delete all items from the cart",""
"failed","Sat Mar 09 16:03:22 UTC 2024","Sat Mar 09 16:03:29 UTC 2024","6589","tests","test_catalog","TestCatalogPrice","","","Sorting in descending order",""
"broken","Sat Mar 09 16:04:25 UTC 2024","Sat Mar 09 16:04:28 UTC 2024","2889","tests","test_orders","TestOrdersHistory","","","Change order status",""
"broken","Sat Mar 09 16:04:40 UTC 2024","Sat Mar 09 16:04:50 UTC 2024","10632","tests","test_payment","TestPayment","","","Go back to the store",""
"passed","Sat Mar 09 16:03:39 UTC 2024","Sat Mar 09 16:03:41 UTC 2024","2264","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 3",""
"passed","Sat Mar 09 16:03:53 UTC 2024","Sat Mar 09 16:03:58 UTC 2024","5445","tests","test_catalog","TestCatalogPrice","","","Showing items from category Women clothing",""
"passed","Sat Mar 09 16:04:12 UTC 2024","Sat Mar 09 16:04:14 UTC 2024","1997","tests","test_catalog","TestCatalogPrice","","","Open order history",""
"passed","Sat Mar 09 16:03:45 UTC 2024","Sat Mar 09 16:03:51 UTC 2024","5412","tests","test_catalog","TestCatalogPrice","","","Showing items from category Men clothing",""
"passed","Sat Mar 09 16:03:31 UTC 2024","Sat Mar 09 16:03:36 UTC 2024","4937","tests","test_catalog","TestCatalogPrice","","","Show 12 products per page",""
"passed","Sat Mar 09 16:05:16 UTC 2024","Sat Mar 09 16:05:16 UTC 2024","236","tests","test_shopping_cart","TestShoppingCart","","","Checking continue shopping button",""
"passed","Sat Mar 09 16:05:18 UTC 2024","Sat Mar 09 16:05:18 UTC 2024","245","tests","test_shopping_cart","TestShoppingCart","","","Delete item from cart",""
"passed","Sat Mar 09 16:04:52 UTC 2024","Sat Mar 09 16:04:55 UTC 2024","2615","tests","test_shopping_cart","TestShoppingCart","","","Home button check",""
"passed","Sat Mar 09 16:05:25 UTC 2024","Sat Mar 09 16:05:26 UTC 2024","1247","tests","test_shopping_cart","TestShoppingCart","","","Proceed to checkout",""
"passed","Sat Mar 09 16:03:31 UTC 2024","Sat Mar 09 16:03:36 UTC 2024","5419","tests","test_catalog","TestCatalogPrice","","","Showing items from category Electronics",""
"passed","Sat Mar 09 16:04:04 UTC 2024","Sat Mar 09 16:04:11 UTC 2024","6563","tests","test_catalog","TestCatalogPrice","","","Clear cart in the cart view window",""
"broken","Sat Mar 09 16:03:43 UTC 2024","Sat Mar 09 16:03:45 UTC 2024","2252","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 4",""
"failed","Sat Mar 09 16:03:13 UTC 2024","Sat Mar 09 16:03:20 UTC 2024","6579","tests","test_catalog","TestCatalogPrice","","","Sorting in ascending order",""
"failed","Sat Mar 09 16:05:04 UTC 2024","Sat Mar 09 16:05:07 UTC 2024","3502","tests","test_orders","TestOrdersHistory","","","Delete order",""
"failed","Sat Mar 09 16:03:13 UTC 2024","Sat Mar 09 16:03:20 UTC 2024","6741","tests","test_catalog","TestCatalogPrice","","","Show 24 products per page",""
"failed","Sat Mar 09 16:03:22 UTC 2024","Sat Mar 09 16:03:29 UTC 2024","6661","tests","test_catalog","TestCatalogPrice","","","Show 36 products per page",""
"passed","Sat Mar 09 16:03:38 UTC 2024","Sat Mar 09 16:03:43 UTC 2024","5372","tests","test_catalog","TestCatalogPrice","","","Showing items from category Jewelery",""
